Processing radium.midi...
Track 0: 
Track 1: Xylophone
Note Start: 25, Note End: 126, Note Name: D5, Velocity: 118
Note Start: 7, Note End: 150, Note Name: D#5, Velocity: 66
Note Start: 145, Note End: 5069, Note Name: D5, Velocity: 49
Note Start: 172, Note End: 2276, Note Name: D5, Velocity: 49
Note Start: 169, Note End: 2361, Note Name: D5, Velocity: 49
Note Start: 172, Note End: 2276, Note Name: D5, Velocity: 50
Note Start: 162, Note End: 2846, Note Name: D5, Velocity: 49
Note Start: 164, Note End: 2763, Note Name: D5, Velocity: 49
Note Start: 184, Note End: 865, Note Name: D5, Velocity: 49
Note Start: 162, Note End: 2846, Note Name: D5, Velocity: 52
Note Start: 158, Note End: 3530, Note Name: D5, Velocity: 49
Note Start: 161, Note End: 2866, Note Name: D5, Velocity: 49
Note Start: 155, Note End: 3855, Note Name: D5, Velocity: 49
Note Start: 155, Note End: 3855, Note Name: D5, Velocity: 50
Note Start: 155, Note End: 11908, Note Name: E5, Velocity: 62
Note Start: 29, Note End: 116, Note Name: D5, Velocity: 54
Note Start: 182, Note End: 1122, Note Name: D5, Velocity: 59
Note Start: 188, Note End: 664, Note Name: D5, Velocity: 64
Note Start: 177, Note End: 1841, Note Name: D5, Velocity: 68
Note Start: 179, Note End: 1599, Note Name: D5, Velocity: 73
Note Start: 155, Note End: 3855, Note Name: D5, Velocity: 78
Note Start: 184, Note End: 9176, Note Name: C5, Velocity: 82
Note Start: 155, Note End: 12166, Note Name: C5, Velocity: 87
Note Start: 184, Note End: 36924, Note Name: A#4, Velocity: 91
Note Start: 155, Note End: 39914, Note Name: A#4, Velocity: 96
Note Start: 176, Note End: 13261, Note Name: G#4, Velocity: 116
Note Start: 1, Note End: 6428, Note Name: G#4, Velocity: 49
Note Start: 155, Note End: 3379, Note Name: F4, Velocity: 51
Note Start: 155, Note End: 15093, Note Name: G#4, Velocity: 62
Note Start: 155, Note End: 3379, Note Name: F4, Velocity: 72
Note Start: 155, Note End: 15093, Note Name: G#4, Velocity: 83
Note Start: 155, Note End: 3379, Note Name: F4, Velocity: 93
Note Start: 155, Note End: 15093, Note Name: G#4, Velocity: 104
Note Start: 159, Note End: 22002, Note Name: F#6, Velocity: 127
Note Start: 1, Note End: 6769, Note Name: F4, Velocity: 109
Note Start: 155, Note End: 22481, Note Name: F#6, Velocity: 127
