Processing stained_glass.midi...
Track 0: 
Track 1: [Staff 1]
Note Start: 0, Note End: 326, Note Name: G5, Velocity: 61
Note Start: 0, Note End: 794, Note Name: C5, Velocity: 58
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 72
Note Start: 287, Note End: 574, Note Name: G#5, Velocity: 49
Note Start: 220, Note End: 3543, Note Name: G5, Velocity: 49
Note Start: 1, Note End: 795, Note Name: C5, Velocity: 41
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 51
Note Start: 1, Note End: 327, Note Name: G5, Velocity: 49
Note Start: 0, Note End: 794, Note Name: C5, Velocity: 41
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 51
Note Start: 1, Note End: 795, Note Name: C5, Velocity: 41
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 51
Note Start: 1, Note End: 327, Note Name: G5, Velocity: 50
Note Start: 505, Note End: 9913, Note Name: E1, Velocity: 32
Note Start: 4, Note End: 798, Note Name: C5, Velocity: 42
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 52
Note Start: 293, Note End: 323, Note Name: G#5, Velocity: 36
Note Start: 249, Note End: 1541, Note Name: G5, Velocity: 36
Note Start: 1, Note End: 795, Note Name: C5, Velocity: 28
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 38
Note Start: 1, Note End: 795, Note Name: C5, Velocity: 28
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 38
Note Start: 25, Note End: 3137, Note Name: G#5, Velocity: 36
Note Start: 1, Note End: 327, Note Name: G5, Velocity: 36
Note Start: 0, Note End: 794, Note Name: C5, Velocity: 28
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 38
Note Start: 1, Note End: 795, Note Name: C5, Velocity: 29
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 39
Note Start: 505, Note End: 2977, Note Name: G#6, Velocity: 31
Note Start: 1, Note End: 795, Note Name: C5, Velocity: 28
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 38
Note Start: 1, Note End: 9492, Note Name: A#4, Velocity: 39
Note Start: 0, Note End: 794, Note Name: C5, Velocity: 28
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 34
Note Start: 1, Note End: 9492, Note Name: A#4, Velocity: 37
Note Start: 0, Note End: 794, Note Name: C5, Velocity: 37
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 51
Note Start: 1, Note End: 10495, Note Name: A#3, Velocity: 78
Note Start: 0, Note End: 10494, Note Name: C4, Velocity: 28
Note Start: 0, Note End: 10494, Note Name: C#4, Velocity: 42
Note Start: 501, Note End: 2089, Note Name: G5, Velocity: 49
Note Start: 202, Note End: 1755, Note Name: G#5, Velocity: 49
Note Start: 1, Note End: 10495, Note Name: A#3, Velocity: 41
Note Start: 0, Note End: 10494, Note Name: C4, Velocity: 41
Note Start: 0, Note End: 10494, Note Name: C#4, Velocity: 51
Note Start: 152, Note End: 4412, Note Name: G5, Velocity: 49
Note Start: 383, Note End: 15522, Note Name: C#5, Velocity: 57
Note Start: 1, Note End: 11462, Note Name: G#4, Velocity: 61
Note Start: 0, Note End: 10494, Note Name: A#3, Velocity: 48
Note Start: 0, Note End: 10494, Note Name: C4, Velocity: 48
Note Start: 0, Note End: 10494, Note Name: C#4, Velocity: 58
Note Start: 158, Note End: 938, Note Name: A#4, Velocity: 64
Note Start: 130, Note End: 7264, Note Name: G#4, Velocity: 66
Note Start: 128, Note End: 267, Note Name: C5, Velocity: 69
Note Start: 1, Note End: 10495, Note Name: A#3, Velocity: 65
Note Start: 0, Note End: 10494, Note Name: C4, Velocity: 54
Note Start: 0, Note End: 10494, Note Name: C#4, Velocity: 60
Note Start: 71, Note End: 3370, Note Name: E5, Velocity: 72
Note Start: 126, Note End: 10247, Note Name: F5, Velocity: 75
Note Start: 126, Note End: 267, Note Name: E5, Velocity: 78
Note Start: 1, Note End: 795, Note Name: C5, Velocity: 81
Note Start: 0, Note End: 10494, Note Name: C4, Velocity: 60
Note Start: 0, Note End: 10494, Note Name: C#4, Velocity: 74
Note Start: 108, Note End: 1384, Note Name: C#5, Velocity: 83
Note Start: 109, Note End: 1352, Note Name: D#5, Velocity: 86
Note Start: 111, Note End: 1333, Note Name: G#5, Velocity: 88
Note Start: 1, Note End: 12940, Note Name: D6, Velocity: 91
Note Start: 0, Note End: 794, Note Name: C5, Velocity: 61
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 75
Note Start: 66, Note End: 5199, Note Name: D#6, Velocity: 93
Note Start: 112, Note End: 1697, Note Name: A6, Velocity: 96
Note Start: 113, Note End: 1704, Note Name: D#7, Velocity: 98
Note Start: 5, Note End: 14000, Note Name: A#7, Velocity: 96
Note Start: 0, Note End: 9491, Note Name: A#4, Velocity: 121
Note Start: 0, Note End: 794, Note Name: C5, Velocity: 58
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 64
Note Start: 1, Note End: 9492, Note Name: A#4, Velocity: 53
Note Start: 0, Note End: 794, Note Name: C5, Velocity: 53
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 63
Note Start: 600, Note End: 65775, Note Name: C1, Velocity: 47
Note Start: 1, Note End: 9492, Note Name: A#4, Velocity: 53
Note Start: 0, Note End: 794, Note Name: C5, Velocity: 53
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 63
Note Start: 1, Note End: 9492, Note Name: A#4, Velocity: 44
Note Start: 1, Note End: 9492, Note Name: A#4, Velocity: 64
Note Start: 0, Note End: 794, Note Name: C5, Velocity: 53
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 59
Note Start: 1, Note End: 17149, Note Name: A4, Velocity: 65
Note Start: 0, Note End: 794, Note Name: C5, Velocity: 54
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 60
Note Start: 1, Note End: 17149, Note Name: A4, Velocity: 53
Note Start: 0, Note End: 794, Note Name: C5, Velocity: 53
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 63
Note Start: 5, Note End: 331, Note Name: G5, Velocity: 54
Note Start: 0, Note End: 17148, Note Name: A4, Velocity: 46
Note Start: 8, Note End: 573, Note Name: G#5, Velocity: 49
Note Start: 8, Note End: 324, Note Name: G5, Velocity: 49
Note Start: 1, Note End: 18720, Note Name: D#4, Velocity: 41
Note Start: 0, Note End: 18719, Note Name: F4, Velocity: 55
Note Start: 1, Note End: 18720, Note Name: D#4, Velocity: 41
Note Start: 0, Note End: 18719, Note Name: F4, Velocity: 51
Note Start: 83, Note End: 1818, Note Name: G#4, Velocity: 41
Note Start: 0, Note End: 575, Note Name: G#5, Velocity: 55
Note Start: 1, Note End: 9492, Note Name: A#4, Velocity: 44
Note Start: 0, Note End: 19986, Note Name: A#5, Velocity: 58
Note Start: 0, Note End: 18719, Note Name: D#4, Velocity: 44
Note Start: 0, Note End: 18719, Note Name: F4, Velocity: 54
Note Start: 1, Note End: 11462, Note Name: G#4, Velocity: 41
Note Start: 0, Note End: 575, Note Name: G#5, Velocity: 55
Note Start: 0, Note End: 18719, Note Name: D#4, Velocity: 41
Note Start: 0, Note End: 18719, Note Name: F4, Velocity: 55
Note Start: 1, Note End: 9492, Note Name: A#4, Velocity: 41
Note Start: 0, Note End: 19986, Note Name: A#5, Velocity: 55
Note Start: 1, Note End: 18720, Note Name: F4, Velocity: 42
Note Start: 0, Note End: 20996, Note Name: G4, Velocity: 56
Note Start: 1, Note End: 795, Note Name: C5, Velocity: 41
Note Start: 0, Note End: 21503, Note Name: C6, Velocity: 55
Note Start: 1, Note End: 795, Note Name: C#5, Velocity: 49
Note Start: 5, Note End: 13070, Note Name: D#6, Velocity: 61
Note Start: 0, Note End: 12688, Note Name: D#5, Velocity: 46
Note Start: 0, Note End: 12177, Note Name: F5, Velocity: 60
Note Start: 293, Note End: 7491, Note Name: A5, Velocity: 44
Note Start: 1, Note End: 327, Note Name: G5, Velocity: 57
Note Start: 25, Note End: 6603, Note Name: G#6, Velocity: 72
Note Start: 133, Note End: 10348, Note Name: A5, Velocity: 57
Note Start: 16, Note End: 12158, Note Name: D#5, Velocity: 56
Note Start: 0, Note End: 12177, Note Name: F5, Velocity: 70
Note Start: 1, Note End: 11462, Note Name: G#4, Velocity: 67
Note Start: 16, Note End: 20466, Note Name: G4, Velocity: 71
Note Start: 16, Note End: 1028, Note Name: G5, Velocity: 86
Note Start: 0, Note End: 23835, Note Name: G6, Velocity: 100
Note Start: 0, Note End: 326, Note Name: G5, Velocity: 78
Note Start: 1, Note End: 576, Note Name: G#5, Velocity: 67
Note Start: 0, Note End: 8137, Note Name: G#6, Velocity: 81
Note Start: 1, Note End: 327, Note Name: G5, Velocity: 67
Note Start: 0, Note End: 23835, Note Name: G6, Velocity: 81
Note Start: 0, Note End: 20996, Note Name: G4, Velocity: 67
Note Start: 0, Note End: 11461, Note Name: G#4, Velocity: 77
Note Start: 1, Note End: 19987, Note Name: A#5, Velocity: 88
Note Start: 0, Note End: 24587, Note Name: A#6, Velocity: 102
Note Start: 1, Note End: 576, Note Name: G#5, Velocity: 71
Note Start: 0, Note End: 8137, Note Name: G#6, Velocity: 85
Note Start: 1, Note End: 19987, Note Name: A#5, Velocity: 87
Note Start: 0, Note End: 24587, Note Name: A#6, Velocity: 101
Note Start: 0, Note End: 326, Note Name: G5, Velocity: 81
Note Start: 16, Note End: 45, Note Name: G#5, Velocity: 83
Note Start: 16, Note End: 19456, Note Name: A#5, Velocity: 86
Note Start: 5, Note End: 17412, Note Name: C1, Velocity: 102
Note Start: 0, Note End: 26112, Note Name: C#1, Velocity: 94
Note Start: 34, Note End: 18454, Note Name: C6, Velocity: 28
Note Start: 0, Note End: 26624, Note Name: C7, Velocity: 42
Note Start: 0, Note End: 20996, Note Name: G4, Velocity: 36
Note Start: 1, Note End: 795, Note Name: C5, Velocity: 37
Note Start: 0, Note End: 20996, Note Name: G4, Velocity: 29
Note Start: 0, Note End: 11461, Note Name: G#4, Velocity: 39
Note Start: 1, Note End: 20997, Note Name: G4, Velocity: 28
Note Start: 0, Note End: 11461, Note Name: G#4, Velocity: 38
Note Start: 1, Note End: 795, Note Name: C5, Velocity: 39
Note Start: 1, Note End: 795, Note Name: C5, Velocity: 36
Note Start: 16, Note End: 16618, Note Name: A4, Velocity: 28
Note Start: 0, Note End: 9491, Note Name: A#4, Velocity: 38
Note Start: 1, Note End: 17149, Note Name: A4, Velocity: 28
Note Start: 0, Note End: 9491, Note Name: A#4, Velocity: 42
Note Start: 5, Note End: 29982, Note Name: C#6, Velocity: 80
Note Start: 0, Note End: 30490, Note Name: D5, Velocity: 91
Note Start: 0, Note End: 12035, Note Name: E5, Velocity: 105
Note Start: 16, Note End: 12535, Note Name: D#6, Velocity: 75
Note Start: 16, Note End: 29447, Note Name: C#6, Velocity: 75
Note Start: 1, Note End: 30491, Note Name: D5, Velocity: 86
Note Start: 0, Note End: 12035, Note Name: E5, Velocity: 96
Note Start: 16, Note End: 12535, Note Name: D#6, Velocity: 75
Note Start: 1, Note End: 29978, Note Name: C#6, Velocity: 75
Note Start: 0, Note End: 30490, Note Name: D5, Velocity: 86
Note Start: 0, Note End: 12035, Note Name: E5, Velocity: 100
Note Start: 1, Note End: 12940, Note Name: D6, Velocity: 89
Note Start: 0, Note End: 13065, Note Name: D#6, Velocity: 103
Note Start: 8, Note End: 22531, Note Name: A5, Velocity: 75
Note Start: 126, Note End: 888, Note Name: D6, Velocity: 75
Note Start: 110, Note End: 1714, Note Name: D#6, Velocity: 75
Note Start: 1, Note End: 23836, Note Name: G6, Velocity: 75
Note Start: 0, Note End: 4096, Note Name: E1, Velocity: 90
Note Start: 110, Note End: 10152, Note Name: C6, Velocity: 75
Note Start: 110, Note End: 21311, Note Name: F#6, Velocity: 75
Note Start: 111, Note End: 11225, Note Name: G#6, Velocity: 75
Note Start: 12, Note End: 34309, Note Name: D7, Velocity: 70
Note Start: 243, Note End: 9736, Note Name: D5, Velocity: 67
Note Start: 0, Note End: 12035, Note Name: E5, Velocity: 77
Note Start: 1, Note End: 30491, Note Name: D5, Velocity: 67
Note Start: 0, Note End: 12035, Note Name: E5, Velocity: 77
Note Start: 5, Note End: 580, Note Name: G#5, Velocity: 80
Note Start: 31, Note End: 17685, Note Name: A#5, Velocity: 86
Note Start: 0, Note End: 24587, Note Name: A#6, Velocity: 96
Note Start: 0, Note End: 30490, Note Name: D5, Velocity: 67
Note Start: 0, Note End: 12035, Note Name: E5, Velocity: 81
Note Start: 1, Note End: 19987, Note Name: A#5, Velocity: 62
Note Start: 0, Note End: 24587, Note Name: A#6, Velocity: 72
Note Start: 0, Note End: 575, Note Name: G#5, Velocity: 75
Note Start: 1, Note End: 19987, Note Name: A#5, Velocity: 90
Note Start: 0, Note End: 24587, Note Name: A#6, Velocity: 100
Note Start: 0, Note End: 35380, Note Name: D4, Velocity: 90
Note Start: 0, Note End: 35350, Note Name: E4, Velocity: 104
Note Start: 1, Note End: 19987, Note Name: A#5, Velocity: 68
Note Start: 0, Note End: 24587, Note Name: A#6, Velocity: 82
Note Start: 0, Note End: 11461, Note Name: G#4, Velocity: 76
Note Start: 1, Note End: 36154, Note Name: F#5, Velocity: 97
Note Start: 0, Note End: 32662, Note Name: F#6, Velocity: 111
Note Start: 0, Note End: 35380, Note Name: D4, Velocity: 97
Note Start: 0, Note End: 35350, Note Name: E4, Velocity: 111
Note Start: 1, Note End: 19987, Note Name: A#5, Velocity: 75
Note Start: 0, Note End: 24587, Note Name: A#6, Velocity: 89
Note Start: 0, Note End: 11461, Note Name: G#4, Velocity: 88
Note Start: 218, Note End: 697, Note Name: A#4, Velocity: 85
Note Start: 1, Note End: 12689, Note Name: D#5, Velocity: 103
Note Start: 0, Note End: 13065, Note Name: D#6, Velocity: 117
Note Start: 0, Note End: 35380, Note Name: D4, Velocity: 103
Note Start: 0, Note End: 35350, Note Name: E4, Velocity: 117
Note Start: 1, Note End: 12178, Note Name: F5, Velocity: 81
Note Start: 0, Note End: 37083, Note Name: F6, Velocity: 95
Note Start: 0, Note End: 11461, Note Name: G#4, Velocity: 89
Note Start: 1, Note End: 37271, Note Name: B4, Velocity: 107
Note Start: 0, Note End: 37282, Note Name: B5, Velocity: 121
Note Start: 1, Note End: 795, Note Name: C5, Velocity: 108
Note Start: 0, Note End: 21503, Note Name: C6, Velocity: 122
Note Start: 55, Note End: 29008, Note Name: D4, Velocity: 109
Note Start: 0, Note End: 18719, Note Name: D#4, Velocity: 123
Note Start: 1, Note End: 12178, Note Name: F5, Velocity: 110
Note Start: 0, Note End: 37083, Note Name: F6, Velocity: 124
Note Start: 1, Note End: 11462, Note Name: G#4, Velocity: 95
Note Start: 1, Note End: 36154, Note Name: F#5, Velocity: 86
Note Start: 0, Note End: 32662, Note Name: F#6, Velocity: 100
Note Start: 5, Note End: 38174, Note Name: B0, Velocity: 127
Note Start: 0, Note End: 26112, Note Name: C#1, Velocity: 118
Note Start: 0, Note End: 38169, Note Name: D#1, Velocity: 118
Note Start: 0, Note End: 38184, Note Name: B1, Velocity: 127
Note Start: 1, Note End: 22534, Note Name: A5, Velocity: 36
Note Start: 247, Note End: 17935, Note Name: A3, Velocity: 36
