Processing zeg2.midi...
Track 0: 
Note Start: 0, Note End: 4073, Note Name: C#2, Velocity: 40
Note Start: 0, Note End: 4095, Note Name: G#2, Velocity: 54
Note Start: 0, Note End: 7657, Note Name: C#1, Velocity: 40
Note Start: 0, Note End: 7679, Note Name: G#1, Velocity: 54
Note Start: 34, Note End: 1824, Note Name: F6, Velocity: 45
Note Start: 0, Note End: 1790, Note Name: A5, Velocity: 37
Note Start: 0, Note End: 1790, Note Name: D#6, Velocity: 47
Note Start: 0, Note End: 1790, Note Name: C#4, Velocity: 37
Note Start: 0, Note End: 1790, Note Name: D#4, Velocity: 47
Note Start: 23, Note End: 1813, Note Name: F6, Velocity: 44
Note Start: 0, Note End: 1790, Note Name: A5, Velocity: 36
Note Start: 0, Note End: 1790, Note Name: D#6, Velocity: 46
Note Start: 0, Note End: 1790, Note Name: C#4, Velocity: 36
Note Start: 0, Note End: 1790, Note Name: D#4, Velocity: 46
Note Start: 10, Note End: 6643, Note Name: A4, Velocity: 48
Note Start: 10, Note End: 6643, Note Name: C6, Velocity: 34
Note Start: 0, Note End: 6655, Note Name: A6, Velocity: 44
Note Start: 0, Note End: 6633, Note Name: C#5, Velocity: 34
Note Start: 0, Note End: 6655, Note Name: E6, Velocity: 48
Note Start: 1, Note End: 7146, Note Name: A#5, Velocity: 34
Note Start: 0, Note End: 1790, Note Name: D#6, Velocity: 48
Note Start: 0, Note End: 7145, Note Name: D#5, Velocity: 34
Note Start: 0, Note End: 7167, Note Name: F5, Velocity: 48
Note Start: 0, Note End: 7657, Note Name: A#4, Velocity: 48
Note Start: 1, Note End: 7658, Note Name: C#6, Velocity: 42
Note Start: 0, Note End: 7657, Note Name: F#5, Velocity: 34
Note Start: 0, Note End: 7679, Note Name: G#5, Velocity: 48
Note Start: 4, Note End: 8455, Note Name: D6, Velocity: 49
Note Start: 0, Note End: 1790, Note Name: A5, Velocity: 41
Note Start: 0, Note End: 7145, Note Name: A#5, Velocity: 55
Note Start: 0, Note End: 6633, Note Name: C#5, Velocity: 48
Note Start: 10, Note End: 4083, Note Name: C#2, Velocity: 40
Note Start: 0, Note End: 4095, Note Name: G#2, Velocity: 50
Note Start: 0, Note End: 7657, Note Name: C#1, Velocity: 40
Note Start: 0, Note End: 7679, Note Name: G#1, Velocity: 50
Note Start: 25, Note End: 12861, Note Name: A3, Velocity: 59
Note Start: 5, Note End: 11269, Note Name: A0, Velocity: 25
Note Start: 0, Note End: 14851, Note Name: D2, Velocity: 41
Note Start: 0, Note End: 14873, Note Name: G2, Velocity: 55
Note Start: 0, Note End: 14851, Note Name: G1, Velocity: 41
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 41
Note Start: 0, Note End: 14851, Note Name: D2, Velocity: 55
Note Start: 6, Note End: 12038, Note Name: G4, Velocity: 36
Note Start: 0, Note End: 7657, Note Name: A#4, Velocity: 50
Note Start: 0, Note End: 12032, Note Name: G#3, Velocity: 33
Note Start: 0, Note End: 12032, Note Name: F4, Velocity: 33
Note Start: 13, Note End: 13130, Note Name: A#3, Velocity: 54
Note Start: 14, Note End: 13515, Note Name: G3, Velocity: 59
Note Start: 3, Note End: 12839, Note Name: A3, Velocity: 37
Note Start: 0, Note End: 13117, Note Name: A#3, Velocity: 51
Note Start: 0, Note End: 14345, Note Name: C#3, Velocity: 49
Note Start: 0, Note End: 12032, Note Name: G#3, Velocity: 59
Note Start: 27, Note End: 12863, Note Name: A3, Velocity: 59
Note Start: 11, Note End: 13128, Note Name: A#3, Velocity: 59
Note Start: 5, Note End: 14391, Note Name: C4, Velocity: 59
Note Start: 14, Note End: 14647, Note Name: D4, Velocity: 59
Note Start: 10, Note End: 12846, Note Name: A3, Velocity: 54
Note Start: 10, Note End: 1800, Note Name: F6, Velocity: 45
Note Start: 0, Note End: 1790, Note Name: A5, Velocity: 35
Note Start: 0, Note End: 1790, Note Name: D#6, Velocity: 35
Note Start: 0, Note End: 1790, Note Name: C#4, Velocity: 49
Note Start: 0, Note End: 1790, Note Name: D#4, Velocity: 63
Note Start: 0, Note End: 16873, Note Name: D#2, Velocity: 40
Note Start: 0, Note End: 16895, Note Name: F#2, Velocity: 54
Note Start: 0, Note End: 16873, Note Name: D#1, Velocity: 40
Note Start: 0, Note End: 16873, Note Name: F#1, Velocity: 40
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 54
Note Start: 0, Note End: 12032, Note Name: F4, Velocity: 41
Note Start: 0, Note End: 11264, Note Name: A0, Velocity: 25
