[[  [1 90 31.62890229 10.00068504],  [1 37 31.74209146 10.01011972],  [1 47 31.66915654 10.03540018],  [1 120 31.64703193 10.07145303],
  [1 26 31.85592028 10.28648139],  [1 77 32.05705339 10.57240923],  [1 50 31.93507001 14.58202904],  [1 43 31.71839423 19.16596438],
  [0 26 0.00000000 156.61767557],  [1 95 30.69056627 156.61767557],  [0 37 0.00000000 596.27048683],  [1 20 31.36012365 596.27048683],
  [0 43 0.00000000 1182.34818219],  [1 113 32.02591884 1182.34818219],  [0 77 0.00000000 4697.83416969],  [1 35 30.90855730 4697.83416969],
  [0 47 0.00000000 9384.32286263],  [1 30 29.68534359 9384.32286263],  [0 113 0.00000000 18756.74440769],  [1 41 28.55799939 18756.74440769],
  [0 95 28.03202389 74989.91925287],  [1 91 25.24487646 4798559.27738123],  [0 50 0.00000000 9597105.84882599],  [1 37 25.02879870 9597105.84882599],
  [0 20 0.00000000 38388385.18812109],  [1 105 24.92047690 38388385.18812109],  [0 30 24.81530792 153553502.41835248],  [1 77 24.78083698 307106992.03681302],
  [0 41 24.73950404 614213971.26233876],  [0 77 24.63006191 4913711680.30785561],  [1 54 24.48437373 39309693352.53462982],  [1 115 24.35439476 314477546730.27160645],
  [0 54 0.00000000 628955093447.67944336],  [1 50 24.31532519 628955093447.67944336],  [0 37 24.27144501 1257910186882.49218750],  [1 63 24.24920496 2515820373752.11621094],
  [0 120 0.00000000 10063281494969.85546875],  [1 62 24.17216532 10063281494969.85546875],  [0 90 0.00000000 40253125979840.81250000],  [1 105 24.11704968 40253125979840.81250000],
  [0 105 24.06775142 322025007838636.37500000],  [1 123 24.03945933 644050015677259.87500000],  [1 125 23.99176587 2576200062709001.00000000],  [0 91 0.00000000 5152400125417989.00000000],
  [1 91 23.98670736 5152400125417989.00000000],  [0 125 0.00000000 20609600501671916.00000000],  [1 64 23.96811974 20609600501671916.00000000],  [0 123 23.96251053 41219201003343824.00000000],
  [1 28 23.95293285 82438402006687632.00000000],  [0 35 0.00000000 164876804013375232.00000000],  [1 104 23.94539145 164876804013375232.00000000],  [0 104 0.00000000 1319014432107001856.00000000],
  [1 86 23.93949080 1319014432107001856.00000000],  [0 50 0.00000000 2638028864214003712.00000000],  [1 4 23.94458337 2638028864214003712.00000000],  [0 115 0.00000000 21104230913712029696.00000000],
  [1 89 23.94054678 21104230913712029696.00000000],  [0 62 0.00000000 675335389238784950272.00000000],  [1 45 23.99899691 675335389238784950272.00000000],  [0 63 0.00000000 1350670778477569900544.00000000],
  [1 30 24.02427244 1350670778477569900544.00000000],  [0 64 0.00000000 5402683113910279602176.00000000],  [1 90 24.05683011 5402683113910279602176.00000000],  [0 28 24.08244817 10805366227820559204352.00000000],
  [1 116 24.13323957 21610732455641118408704.00000000],  [0 4 0.00000000 86442929822564473634816.00000000],  [1 99 24.16655421 86442929822564473634816.00000000],  [0 86 0.00000000 2766173754322063156314112.00000000],
  [1 21 24.55150074 2766173754322063156314112.00000000],  [0 89 0.00000000 11064695017288252625256448.00000000],  [1 124 24.83098684 11064695017288252625256448.00000000],  [0 90 0.00000000 44258780069153010501025792.00000000],
  [1 20 25.56471901 44258780069153010501025792.00000000],  [0 91 0.00000000 177035120276612042004103168.00000000],  [1 88 25.63014092 177035120276612042004103168.00000000],  [0 30 0.00000000 354070240553224084008206336.00000000],
  [1 21 25.79198113 354070240553224084008206336.00000000]]]
